title,totalScore,reviewsCount,street,city,website,phone,url,categoryName,Instagram,Tiktok,Facebook,YT,Jumlah OTA,Status,jumlah_sosmed_ota,kategori,kategori_ota,has_website,has_phone,cluster,tier
Gazebo Beach Hotel,4.0,498,Jl. Danau Tamblingan No.35-37,Denpasar City,https://gazebohotelbali.com/,62 361 288212,https://www.google.com/maps/search/?api=1&query=Gazebo%20Beach%20Hotel&query_place_id=ChIJZ9iNP8tB0i0R9wZv-lpqbBc,Hotel,True,False,False,False,12,UDA DI CEK,13,Tinggi,Sedang,1,1,0,1
Gemini Star Hotel Kuta,4.0,229,,Badung Regency,http://geministarhotel.zoombookdirect.com//?utm_source=googlemybusiness&utm_medium=organic&utm_campaign=google_my_business,62 819-9912-4855,https://www.google.com/maps/search/?api=1&query=Gemini%20Star%20Hotel%20Kuta&query_place_id=ChIJ40mQeLlG0i0Rig1lmP5Hi98,Hotel,False,False,False,True,11,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Grand Bimasena Hostel,4.0,44,Jln Legian No.190,Badung Regency,,62 818-0564-4611,https://www.google.com/maps/search/?api=1&query=Grand%20Bimasena%20Hostel&query_place_id=ChIJKdACGcdG0i0RzuYBozEDHwg,Hotel,False,False,True,False,6,UDA DI CEK,7,Sedang,Rendah,0,1,1,3
Grand Mega Resort & Spa Bali,4.0,3303,Jl. Bypass Ngurah Rai No.234,Badung Regency,https://www.grandmegaresortbali.com/,62 361 767672,https://www.google.com/maps/search/?api=1&query=Grand%20Mega%20Resort%20%26%20Spa%20Bali&query_place_id=ChIJtZQ2FbJG0i0RCVpQrXDV9E8,Resort hotel,True,True,True,False,10,UDA DI CEK,13,Tinggi,Sedang,1,1,0,1
Griya SUNSET KUTA,4.0,198,Jl. Pura Merta Sari V No.29,Denpasar City,,62 361 8480912,https://www.google.com/maps/search/?api=1&query=Griya%20SUNSET%20KUTA&query_place_id=ChIJ5SazYMxG0i0RVX0hulvRv4w,Hotel,False,False,True,False,7,UDA DI CEK,8,Sedang,Sedang,0,1,1,3
Homestay PadmaLimaSatu legian,4.0,10,Jl. Padma No.51,Badung Regency,,62 821-4646-5151,https://www.google.com/maps/search/?api=1&query=Homestay%20PadmaLimaSatu%20legian&query_place_id=ChIJraR3C8NG0i0REsPlkh7W6yI,Hotel,True,False,True,False,4,UDA DI CEK,6,Rendah,Rendah,0,1,1,3
Hotel Darmadi,4.0,257,Jl. Raya Tuban No.85X,Badung Regency,http://hoteldarmadi-bke.zoombookdirect.com/,62 361 751788,https://www.google.com/maps/search/?api=1&query=Hotel%20Darmadi&query_place_id=ChIJZW-MhKhG0i0R_BRt01uik-I,Hotel,True,False,True,False,8,UDA DI CEK,10,Sedang,Sedang,1,1,0,1
Hotel Kendi Mas,4.0,85,Jl. Bakung Sari,Badung Regency,,62 361 750019,https://www.google.com/maps/search/?api=1&query=Hotel%20Kendi%20Mas&query_place_id=ChIJqf1b16RG0i0RH5F9mkzL1XY,Hotel,False,False,True,False,6,UDA DI CEK,7,Sedang,Rendah,0,1,1,3
Hotel The Flora Kuta Bali,4.0,516,Jl. Bakung Sari No.13A,Badung Regency,http://www.hoteltheflorakutabali.com/,62 811-3931-964,https://www.google.com/maps/search/?api=1&query=Hotel%20The%20Flora%20Kuta%20Bali&query_place_id=ChIJdbJj_a1G0i0RbMzogKS8JeA,Hotel,True,False,True,False,15,UDA DI CEK,17,Tinggi,Tinggi,1,1,0,1
Jimbaran bay hotel,4.0,1,Jl. Pantai Kedonganan No.18X,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=Jimbaran%20bay%20hotel&query_place_id=ChIJWxigbQBF0i0REslFNDw058Q,Hotel,True,True,True,False,15,UDA DI CEK,18,Tinggi,Tinggi,0,0,3,4
Keola hotel,4.0,206,Gg. Cempaka No.3,Badung Regency,,62 361 4753395,https://www.google.com/maps/search/?api=1&query=Keola%20hotel&query_place_id=ChIJWVC6JchH0i0RhiHrvQ4hjws,Hotel,True,False,False,False,10,UDA DI CEK,11,Sedang,Sedang,0,1,1,3
Komala Indah 2,4.0,98,Jl. Benesari Gang Komala Indah No.2,Badung Regency,,62 361 754258,https://www.google.com/maps/search/?api=1&query=Komala%20Indah%202&query_place_id=ChIJTdiLkcBG0i0RM58xWmxPrhc,Hotel,False,False,False,False,8,UDA DI CEK,8,Sedang,Sedang,0,1,1,3
Kuta Angel Boutique Hotel,4.0,563,Jl. Pantai Kuta Br. Pande Mas No.33,Badung Regency,,62 361 751132,https://www.google.com/maps/search/?api=1&query=Kuta%20Angel%20Boutique%20Hotel&query_place_id=ChIJEY2tJLtG0i0RPfpRpEPtIR0,Hotel,True,False,True,False,11,UDA DI CEK,13,Tinggi,Sedang,0,1,1,3
Liberta Hotel Jimbaran,4.0,709,Jl. Uluwatu Kedonganan Kuta No.389,Badung Regency,https://libertahotels.com/hotel/index?uid=4b8eb8d0-d5fc-4134-9d02-5a47ee7efc8a&id=2&checkin=2024/10/31&checkout=2024/11/01&room=1&guest=1,62 812-3902-9141,https://www.google.com/maps/search/?api=1&query=Liberta%20Hotel%20Jimbaran&query_place_id=ChIJP3p1aoJF0i0RW5vMcKMmKrA,Hotel,True,True,True,False,9,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Losari Hotel Sunset Road Bali,4.0,734,"75RM+7G, Jl. Sunset Road No.169",Badung Regency,http://www.losarihotels.com/,62 878-8919-9050,https://www.google.com/maps/search/?api=1&query=Losari%20Hotel%20Sunset%20Road%20Bali&query_place_id=ChIJrRU5gc9G0i0RSO7B-6hL2Gs,Hotel,True,True,True,False,9,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Mahe Garden Inn and Villas Formerly Mahita Brana Homestay,4.0,136,Jl. Kubu Anyar No.8A,Badung Regency,https://www.mahegardeninn.com/,62 878-6178-0418,https://www.google.com/maps/search/?api=1&query=Mahe%20Garden%20Inn%20and%20Villas%20Formerly%20Mahita%20Brana%20Homestay&query_place_id=ChIJe2JpTqRG0i0RPDEda2ETWpU,Hotel,True,False,False,False,10,UDA DI CEK,11,Sedang,Sedang,1,1,0,1
Mutiara Bali Collections,4.0,4,Jl. Braban No.77,Badung Regency,https://mutiarabalicollections.com/,62 813-2993-2930,https://www.google.com/maps/search/?api=1&query=Mutiara%20Bali%20Collections&query_place_id=ChIJZ3Ah_0xH0i0RkkIXfp_saow,Villa,True,True,True,False,3,UDA DI CEK,6,Rendah,Rendah,1,1,0,1
NB Bali Guest House,4.0,220,Jl. Bhineka Jati Jaya XI Gg. Turi No.9,Badung Regency,http://www.nbbaliguesthouse.com/,62 819-9943-2299,https://www.google.com/maps/search/?api=1&query=NB%20Bali%20Guest%20House&query_place_id=ChIJSZCnnB1E0i0RFZEwZeYlQvk,Lodge,True,True,True,False,8,UDA DI CEK,11,Sedang,Sedang,1,1,0,1
OYO 1934 Sedana Inn,4.0,72,Jl. Samudra,Badung Regency,https://www.oyorooms.com/h/86058?utm_source=Google_gmb_ID&utm_medium=Organic&utm_campaign=ID_BLI086&latitude=-8.73478&longitude=115.1654&locale=id,62 21 29707601,https://www.google.com/maps/search/?api=1&query=OYO%201934%20Sedana%20Inn&query_place_id=ChIJ73hZgvdF0i0RDeRo4kzyqpg,Hotel,True,True,True,True,8,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
OYO 734 Tuban Torres Accommodation,4.0,134,Jl. Kakatua No.7,Badung Regency,https://www.oyorooms.com/ID/54630/?utm_source=GMB_ID&utm_medium=Organic&utm_campaign=ID_BLI031&latitude=-8.743689&longitude=115.173067&locale=id,62 21 29707601,https://www.google.com/maps/search/?api=1&query=OYO%20734%20Tuban%20Torres%20Accommodation&query_place_id=ChIJb8hrDBpE0i0RCNbf0v6iR1c,Hotel,True,True,True,True,8,UDA DI CEK,12,Sedang,Sedang,1,1,0,1
Padma Surya,4.0,23,Jl. Padma No.12,Badung Regency,,62 361 4755517,https://www.google.com/maps/search/?api=1&query=Padma%20Surya&query_place_id=ChIJuSpgesNG0i0Rl46GUIM6YlI,Hotel,False,False,False,False,2,UDA DI CEK,2,Rendah,Rendah,0,1,1,3
Paradiso Beach Inn,4.0,188,"Jalan Legian No. 61, Kuta",Badung Regency,,62 361 752270,https://www.google.com/maps/search/?api=1&query=Paradiso%20Beach%20Inn&query_place_id=ChIJLyTBXsNG0i0RMu4hMSaT_Ws,Hotel,True,True,True,False,7,UDA DI CEK,10,Sedang,Sedang,0,1,1,3
Pendawa Gapura,4.0,133,"Kartika Plasa Street, Pendawa Lane no.3",Badung Regency,,62 815-7341-2221,https://www.google.com/maps/search/?api=1&query=Pendawa%20Gapura&query_place_id=ChIJGWGlgaBG0i0RUZUNO7TzWC4,Hotel,True,False,True,False,5,UDA DI CEK,7,Sedang,Rendah,0,1,1,3
RedDoorz @ Sehati Raya Kuta,4.0,21,Jl. Raya Kuta No.2,Badung Regency,,62 21 80629666,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Sehati%20Raya%20Kuta&query_place_id=ChIJ4-OGAbBG0i0RQPcBTzkoR3Q,Hotel,True,True,True,True,5,UDA DI CEK,9,Sedang,Rendah,0,1,1,3
RedDoorz @ Seminyak Sunset,4.0,3,"8597+GX5, Gg. Meduri",Badung Regency,,62 817-9752-305,https://www.google.com/maps/search/?api=1&query=RedDoorz%20%40%20Seminyak%20Sunset&query_place_id=ChIJtZkJKxZH0i0RiYPJos7GK-Y,Hotel,True,True,True,True,5,UDA DI CEK,9,Sedang,Rendah,0,1,1,3
RedDoorz Plus near Mall Bali Galeria,4.0,3,Jl. Bypass Ngurah Rai No.999,Badung Regency,,62 21 80629666,https://www.google.com/maps/search/?api=1&query=RedDoorz%20Plus%20near%20Mall%20Bali%20Galeria&query_place_id=ChIJC5Fn6ahG0i0RxXlm6jf01l4,Hotel,True,True,True,True,5,UDA DI CEK,9,Sedang,Rendah,0,1,1,3
Sarinande Hotel,4.0,193,"15, Jl. Sarinande",Badung Regency,http://www.sarinandehotels.com/,62 361 730383,https://www.google.com/maps/search/?api=1&query=Sarinande%20Hotel&query_place_id=ChIJP8UQHhxH0i0RUSH-1PyeK58,Hotel,True,False,True,False,9,UDA DI CEK,11,Sedang,Sedang,1,1,0,1
Seminyak Townhouse,4.0,351,Jl. Nakula Jl. Dewi Ratih No.3,Badung Regency,http://www.seminyaktownhousebali.com/,62 361 4471519,https://www.google.com/maps/search/?api=1&query=Seminyak%20Townhouse&query_place_id=ChIJP6sTzd5G0i0RDiUW5ZXodOY,Lodging,True,True,True,False,7,UDA DI CEK,10,Sedang,Sedang,1,1,0,1
Serela Legian Hotel Bali,4.0,1017,Jl. Lb. Bene No.168,Badung Regency,,62 361 4727168,https://www.google.com/maps/search/?api=1&query=Serela%20Legian%20Hotel%20Bali&query_place_id=ChIJb5YIQ8FG0i0R-7AtTPQ2RRs,Hotel,True,False,True,True,8,UDA DI CEK,11,Sedang,Sedang,0,1,1,3
Simpang Inn,4.0,575,Jln Legian No.133,Badung Regency,https://simpanginn.com/booking/,62 361 761306,https://www.google.com/maps/search/?api=1&query=Simpang%20Inn&query_place_id=ChIJg-mt-bhG0i0R67HfqGuS7NM,Hotel,True,True,False,False,12,UDA DI CEK,14,Tinggi,Sedang,1,1,0,1
Sun Royal Hotel Bali,4.0,759,Jl. Sunset Road No.6S,Badung Regency,http://www.sunroyalhotel.com/,62 361 8465828,https://www.google.com/maps/search/?api=1&query=Sun%20Royal%20Hotel%20Bali&query_place_id=ChIJ6Qi2ltBG0i0Rc975re7YX5g,Hotel,True,True,True,False,10,UDA DI CEK,13,Tinggi,Sedang,1,1,0,1
Suris Boutique Hotel,4.0,674,Jl. Blambangan No.5,Badung Regency,,62 361 751332,Suris Boutique Hotel,Hotel,True,True,True,False,9,UDA DI CEK,12,Sedang,Sedang,0,1,1,3
Taman Ayu Legian,4.0,93,"Jalan Legian No.99, Kuta",Badung Regency,,62 361 755443,https://www.google.com/maps/search/?api=1&query=Taman%20Ayu%20Legian&query_place_id=ChIJGwr_8N5G0i0RWU3MBMIhArY,Hotel,True,False,True,False,9,UDA DI CEK,11,Sedang,Sedang,0,1,1,3
The Bali Dream Villa 1,4.0,126,,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=The%20Bali%20Dream%20Villa%201&query_place_id=ChIJ6djuS4NH0i0RqV5-hL2JR4w,Hotel,True,True,True,True,15,UDA DI CEK,19,Sangat tinggi,Tinggi,0,0,3,4
The Club Villas Seminyak,4.0,230,Jl. Kayu Aya Gg. Darma,Badung Regency,https://theclubvillaseminyak.com/,62 811-3891-1933,https://www.google.com/maps/search/?api=1&query=The%20Club%20Villas%20Seminyak&query_place_id=ChIJgfRJGhpH0i0R0dxNJamN8hw,Villa,True,True,True,False,10,UDA DI CEK,13,Tinggi,Sedang,1,1,0,1
villa ashira (hevri),4.0,1,Jl. Dewi Sri II No.188,Badung Regency,,,https://www.google.com/maps/search/?api=1&query=villa%20ashira%20(hevri)&query_place_id=ChIJXfds6s9G0i0RWak6alzZugs,Hotel,True,True,False,False,4,UDA DI CEK,6,Rendah,Rendah,0,0,3,4
Villa Cuatro,4.0,8,Jl. Lb. Sari,Badung Regency,http://managementbali.com/,,https://www.google.com/maps/search/?api=1&query=Villa%20Cuatro&query_place_id=ChIJZUDBkNFH0i0Ry5Fw-lQgbt8,Lodging,True,False,False,False,7,UDA DI CEK,8,Sedang,Sedang,1,0,2,2
Villa de Malicott Athena,4.0,78,Jl. Gn. Atena II No.3,Denpasar City,,62 878-6060-1446,https://www.google.com/maps/search/?api=1&query=Villa%20de%20Malicott%20Athena&query_place_id=ChIJ-_vLebpH0i0RTY5sB49tqZI,Villa,True,False,False,False,6,UDA DI CEK,7,Sedang,Rendah,0,1,1,3
Villa Naga Laut,4.0,4,75XF+JJ5,Badung Regency,,62 21 99711188,https://www.google.com/maps/search/?api=1&query=Villa%20Naga%20Laut&query_place_id=ChIJp6qqqttG0i0RKsSwJ5xQLDQ,Resort hotel,False,False,False,False,6,UDA DI CEK,6,Rendah,Rendah,0,1,1,3
Vito Sakti. CV,4.0,1,"JL. By Pass Ngurah Rai, No. 174, Kerobokan Kuta",Denpasar City,,62 361 283171,https://www.google.com/maps/search/?api=1&query=Vito%20Sakti.%20CV&query_place_id=ChIJd_Z7Nk1B0i0Rtf8oqEhzMHk,Hotel,False,False,False,False,0,UDA DI CEK,0,Rendah,Rendah,0,1,1,3
Wyndham Garden Kuta Beach Bali,4.0,2055,Jl. Pantai Kuta 99 X,Badung Regency,https://www.wyndhamgardenkutabali.com/?CID=LC:46q62bu8edfbx3y:50835&iata=00093796,62 623 61755755,https://www.google.com/maps/search/?api=1&query=Wyndham%20Garden%20Kuta%20Beach%20Bali&query_place_id=ChIJ-w1Sgr9G0i0R69LN5ladTjI,Hotel,True,True,True,False,12,UDA DI CEK,15,Tinggi,Sedang,1,1,0,1
ZEN Rooms Batu pageh legian Kuta,4.0,1,"75RF+979, Jl. Batu Pageh Gg. Melani",Badung Regency,https://zenrooms.com/hotel/9/zen-rooms-batu-pageh-legian-kuta-bali-5836?utm_source=local&utm_medium=organic&utm_campaign=gmb,62 855-7467-1004,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Batu%20pageh%20legian%20Kuta&query_place_id=ChIJ2YAZm8ZG0i0RwBMkchiirgw,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,1,1,0,1
ZEN Rooms Denpasar Imam Bonjol 2,4.0,1,"853P+3HV Perum. Budha Cemeng Ukir, Jl. Imam Bonjol",Bali,https://zenrooms.com/hotel/9/zen-rooms-denpasar-imam-bonjol-2-bali-928?utm_source=local&utm_medium=organic&utm_campaign=gmb,62 855-7467-1004,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Denpasar%20Imam%20Bonjol%202&query_place_id=ChIJPTiChNRG0i0RfvGSB7PfA6o,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,1,1,0,1
ZEN Rooms Kuta ByPass Ngurah Rai,4.0,3,Jl. Bypass Ngurah Rai No.999,Badung Regency,https://kay-recomends-you.eu/zen-rooms-kuta-bypass-ngurah-rai-indonesia,62 855-7467-1004,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Kuta%20ByPass%20Ngurah%20Rai&query_place_id=ChIJj46o7qhG0i0R_D6qVraPWTc,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,1,1,0,1
ZEN Rooms Kuta Centre Kartika Plaza,4.0,1,Jl. Kartika Plaza Centre No.8X,Badung Regency,,62 855-7467-1004,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Kuta%20Centre%20Kartika%20Plaza&query_place_id=ChIJr_6rsqFG0i0RydblcAQyQUk,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,0,1,1,3
ZEN Rooms Legian Melasti,4.0,5,Jl. Lb. Bene No.16,Badung Regency,https://www.zenrooms.com/hotel/9/zen-rooms-legian-melasti-bali-118?utm_source=local&utm_medium=organic&utm_campaign=gmb,,https://www.google.com/maps/search/?api=1&query=ZEN%20Rooms%20Legian%20Melasti&query_place_id=ChIJa4xqPsFG0i0R9ekQUXNPuJQ,Hotel,True,False,True,False,3,UDA DI CEK,5,Rendah,Rendah,1,0,2,2
