title,totalScore,reviewsCount,street,city,website,phone,url,categoryName,Instagram,Tiktok,Facebook,YT,ShopeeFood,GrabFood,GoFood,jumlah_sosmed_ODD,kategori,has_website,has_phone,cluster,tier
Warung Bu Desak,4.9,15,"V3CX+X69, Jl. Mayor Metra",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Bu%20Desak&query_place_idChIJnz2p4tuR0S0RB77KnPa6tyU,Indonesian restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
Warung Titiran,4.9,82,"R4X4+4WX, Jl. Jelantik Gingsir",Buleleng Regency,,+62 859-6709-4533,https://www.google.com/maps/search/?api1&queryWarung%20Titiran&query_place_idChIJxTZEKmOR0S0RlsbAMv-jTOM,Indonesian restaurant,False,False,True,False,False,False,False,1,Rendah,0,1,0,2
Waroeng Singgah 1,4.9,83,Gg. Pisang,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWaroeng%20Singgah%201&query_place_idChIJdySojXua0S0RnEnGrWM73OU,Nasi restaurant,True,False,False,False,False,False,True,2,Sedang,0,0,1,3
Warung Daduk,4.9,22,Jl. Anggrek BR Delodrurung No.9,Tabanan Regency,,+62 896-9732-1578,https://www.google.com/maps/search/?api1&queryWarung%20Daduk&query_place_idChIJ9yim1MM70i0Rh4PI97GEC-M,Nasi restaurant,False,False,True,False,False,False,False,1,Rendah,0,1,0,2
Da' Kayu warung,4.9,21,P2RX+H6C,Buleleng Regency,,+62 858-4750-0979,https://www.google.com/maps/search/?api1&queryDa'%20Kayu%20warung&query_place_idChIJsZ6HWgCH0S0RFgSBuQo3cI8,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Dapoer Rujak 2 Pemaron,4.9,22,"V378+87G, dauh margi, Jl. Gede Wangsa",Buleleng Regency,,+62 821-4615-7117,https://www.google.com/maps/search/?api1&queryDapoer%20Rujak%202%20Pemaron&query_place_idChIJ3bBEnW2b0S0RX30YstG1PiA,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
HuiJia Kopitiam Singaraja,4.9,9,Jl. Gajah Mada No.97,Buleleng Regency,https://instagram.com/huijia.kopitiam?igshidYmMyMTA2M2Y,+62 811-3702-887,https://www.google.com/maps/search/?api1&queryHuiJia%20Kopitiam%20Singaraja&query_place_idChIJ359kATCb0S0R10oB42r1d_4,Restaurant,True,False,False,False,False,False,False,1,Rendah,1,1,2,1
Martabak dan terangbulan *BINTANG RASA 2*,4.9,7,Jl. Surya Dharma No.5,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryMartabak%20dan%20terangbulan%20*BINTANG%20RASA%202*&query_place_idChIJ2we4Yz2b0S0RDIMHPe3uvZw,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Shanti Joglo Restaurant,4.9,30,Jl. Raya Desa Sambangan,Buleleng Regency,https://shanti-northbali.com/,+62 812-3824-800,https://www.google.com/maps/search/?api1&queryShanti%20Joglo%20Restaurant&query_place_idChIJx2mFvh6R0S0RldjU6C0AX8Y,Restaurant,False,False,False,False,False,False,False,0,Rendah,1,1,2,1
Warung Dora,4.9,40,Gg. Klp.,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Dora&query_place_idChIJyRG6Jn6a0S0RQSeONFztZXk,Restaurant,True,False,False,False,False,False,True,2,Sedang,0,0,1,3
Warunk Uma Lele Singaraja,4.9,13,Jl. Ngurah Rai No.51,Buleleng Regency,,+62 858-7716-8168,https://www.google.com/maps/search/?api1&queryWarunk%20Uma%20Lele%20Singaraja&query_place_idChIJ-6zQIQCb0S0RnaHDO_bYA7w,Restaurant,True,True,True,True,False,False,True,5,Tinggi,0,1,0,2
Restaurant Dewa Dewi,4.9,105,"R2RH+H6P, Jl. Mawar Gang Sawah Lovina, Desa Kalibukbuk, Kec. Buleleng",Buleleng Regency,,+62 813-3836-5721,https://www.google.com/maps/search/?api1&queryRestaurant%20Dewa%20Dewi&query_place_idChIJNXB6z0ab0S0RK45oce7AOVk,Seafood restaurant,False,False,True,False,False,False,False,1,Rendah,0,1,0,2
Seblak Gacor Teh Nia,4.9,8,Jl. Pulau Menjangan No.26,Tabanan Regency,,,https://www.google.com/maps/search/?api1&querySeblak%20Gacor%20Teh%20Nia&query_place_idChIJBalUbQA70i0Rm1xlzWtzb1Y,Seblak restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
Nela Cafe & Restaurant,4.9,28,Jl. Celuk Agung No 1,Buleleng Regency,https://caferestaurantlovina.com/,+62 853-3828-6830,https://www.google.com/maps/search/?api1&queryNela%20Cafe%20%26%20Restaurant&query_place_idChIJu83Wzneb0S0RTVsCTrojlfQ,Takeout Restaurant,True,True,False,False,False,False,False,2,Sedang,1,1,2,1
Bakso Fauzan,3.9,7,Jl. Imam Bonjol No.58,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryBakso%20Fauzan&query_place_idChIJJ_iAwQia0S0ReVwBm_LdOEY,Bakso restaurant,False,False,True,False,False,False,False,1,Rendah,0,0,1,3
PAK GEMBUS Tabanan,3.9,176,Jl. Mawar No.53,Tabanan Regency,,+62 877-1753-4617,https://www.google.com/maps/search/?api1&queryPAK%20GEMBUS%20Tabanan&query_place_idChIJB0-TX8E70i0RUJ7USPLB2FQ,Chicken restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Warung Babi Guling Singaraja,3.9,9,"V356+64V, Jl. Surya Dharma",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Babi%20Guling%20Singaraja&query_place_idChIJh61yWACb0S0RY_GzBgksEAU,Indonesian restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
Babi Guling Winia 2,3.9,11,"F43C+G3M, Jl. Jepun",Tabanan Regency,,+62 821-4655-8935,https://www.google.com/maps/search/?api1&queryBabi%20Guling%20Winia%202&query_place_idChIJzRXICx470i0RAj50tYXLP2c,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Warung Makan A & D,3.9,8,Jl. Merak No.9,Tabanan Regency,,+62 812-3824-1510,https://www.google.com/maps/search/?api1&queryWarung%20Makan%20A%20%26%20D&query_place_idChIJwaXOFfY60i0Rnw_1y3CtNbc,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Paon Happy Terrace,4.8,46,Jl. Pantai Happy,Buleleng Regency,https://www.instagram.com/paonhappyterrace/profilecard/?igshMXR6enJzNTEyNng0,+62 812-4621-0799,https://www.google.com/maps/search/?api1&queryPaon%20Happy%20Terrace&query_place_idChIJlZVMeQCb0S0RkWVpVbaUMXM,Asian restaurant,False,False,False,False,False,False,False,0,Rendah,1,1,2,1
Bakso Ayam Desy,4.8,4,"Jl. Gn. Agung nomer No.3, Kelurahan",Buleleng Regency,,+62 878-5434-7947,https://www.google.com/maps/search/?api1&queryBakso%20Ayam%20Desy&query_place_idChIJ3dx8u4mb0S0RRrukiOWjq24,Bakso restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Bakso Berkah Barokah,4.8,18,V374+HRV,Buleleng Regency,,+62 813-5344-4434,https://www.google.com/maps/search/?api1&queryBakso%20Berkah%20Barokah&query_place_idChIJUXZR8U-b0S0RxnsBzRyKI2Y,Bakso restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Warung Baso Bandung,4.8,6,Jl. Laksamana No.Barat,Buleleng Regency,,+62 818-0578-6464,https://www.google.com/maps/search/?api1&queryWarung%20Baso%20Bandung&query_place_idChIJoTLLcqub0S0RbzHnqyghizU,Bakso restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Warung darmawan,4.8,8,Jl. WR Supratman,Buleleng Regency,,+62 877-0100-0576,https://www.google.com/maps/search/?api1&queryWarung%20darmawan&query_place_idChIJa3XXDoKR0S0RmmnwEQzQ3LQ,Bakso restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Nasi Be Genyol Men Ridep,4.8,4,Jl. Mawar No.22,Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryNasi%20Be%20Genyol%20Men%20Ridep&query_place_idChIJOSe-ss070i0RfKDxwypPDYI,Balinese restaurant,False,False,False,True,False,False,False,1,Rendah,0,0,1,3
Rujak mbok luh tengking,4.8,12,Jl. Gn. Rinjani No.8,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryRujak%20mbok%20luh%20tengking&query_place_idChIJUb3_fqSb0S0RUxvhYocZIn8,Balinese restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Rumah Pak Agast,4.8,10,"Pasar Senggol, pasar tradisional tanah lot",Tabanan Regency,,+62 812-3836-8496,https://www.google.com/maps/search/?api1&queryRumah%20Pak%20Agast&query_place_idChIJP0JLGo450i0RORJTaT1uCo8,Balinese restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Warung Babi Guling Manis Jambe,4.8,92,Jl. Gelatik Dajan Peken No.14,Tabanan Regency,,+62 813-6862-7652,https://www.google.com/maps/search/?api1&queryWarung%20Babi%20Guling%20Manis%20Jambe&query_place_idChIJudva-MM70i0RttixW00HlN4,Balinese restaurant,True,False,True,False,False,False,True,3,Sedang,0,1,0,2
Warung Makan Bu Rini,4.8,13,"W423+876, Jl. WR Supratman",Buleleng Regency,,+62 812-3677-3063,https://www.google.com/maps/search/?api1&queryWarung%20Makan%20Bu%20Rini&query_place_idChIJj-KKkQuR0S0R3ccSAnZanYU,Balinese restaurant,True,True,False,False,False,False,False,2,Sedang,0,1,0,2
Warung Makan Siobak Buk Jeni,4.8,13,V3MR+9GR,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Makan%20Siobak%20Buk%20Jeni&query_place_idChIJWYHISnSa0S0RSNdXtErpGAs,Balinese restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Warung Makan Wira,4.8,36,Jl. Laksamana-Baktiseraga No.154,Buleleng Regency,,+62 819-3654-4500,https://www.google.com/maps/search/?api1&queryWarung%20Makan%20Wira&query_place_idChIJdTdJr5ib0S0R2bI6juAH6do,Balinese restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
NR Kitchen,4.8,8,"Btn batu sejahtera, dusun batupulu, Jl. Dewa Putu Kerta gang jambu blok c5",Buleleng Regency,https://www.instagram.com/nr_kitchen25?igshMWdpb3ZwMHJvazl5eQ&utm_sourceqr,+62 881-0383-80888,https://www.google.com/maps/search/?api1&queryNR%20Kitchen&query_place_idChIJZTfMJQCb0S0R7AprIQipwgo,Brunch restaurant,True,False,True,False,False,False,False,2,Sedang,1,1,2,1
Warung sate madura urwah albariqi,4.8,4,Jl. Jepun,Tabanan Regency,,+62 812-2714-2949,https://www.google.com/maps/search/?api1&queryWarung%20sate%20madura%20urwah%20albariqi&query_place_idChIJ4yhbOQA70i0Rhe8HwTAyCls,Brunch restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Ayam Geprek ala Rahma,4.8,10,"F42C+FH7, Jl. Klp. Gading",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryAyam%20Geprek%20ala%20Rahma&query_place_idChIJM6uImn870i0R-xIUMs7G-3Q,Chicken restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
"Chinese Food ""Santoso""",4.8,6,Jl. Mawar No.50,Tabanan Regency,,+62 831-6644-1378,https://www.google.com/maps/search/?api1&queryChinese%20Food%20%22Santoso%22&query_place_idChIJMeq0tDU70i0ReyyaWsSECtM,Chinese restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Kedai Singasana,4.8,18,Jl. By Pass Kediri,Tabanan Regency,,+62 822-3040-1864,https://www.google.com/maps/search/?api1&queryKedai%20Singasana&query_place_idChIJ5UODOwA70i0RqDZC6Gwhviw,Food court,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
AYAM GEPREK TULANG LUNAK TABANAN,4.8,84,Jl. Cemp. Hijau No.12,Tabanan Regency,,+62 822-6631-1933,https://www.google.com/maps/search/?api1&queryAYAM%20GEPREK%20TULANG%20LUNAK%20TABANAN&query_place_idChIJq3iEXgA70i0RV4CTburuNIU,Indonesian restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Warung Berkat Unyil,4.8,4,Jl. A. Yani No.25c,Buleleng Regency,,+62 819-1440-8420,https://www.google.com/maps/search/?api1&queryWarung%20Berkat%20Unyil&query_place_idChIJp6FqfxWb0S0RGVegaoYzttY,Indonesian restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Warung Jepun (Bar and Resto),4.8,772,"R2QH+Q38, Jl. Mawar",Buleleng Regency,,+62 813-3857-3145,https://www.google.com/maps/search/?api1&queryWarung%20Jepun%20(Bar%20and%20Resto)&query_place_idChIJ90PDXxyb0S0RzH3f8NzbkDs,Indonesian restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Warung Nasi Goreng,4.8,4,Jl. Gempol No.94a,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Nasi%20Goreng%2C%20Capcay%2C%20Ddll&query_place_idChIJ4zLsx5iQ0S0RoDXTswi3PQ0,Nasi goreng restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Nasi Campur Ayam Jokwi Singaraja,4.8,46,Jl. Kartini,Buleleng Regency,,+62 812-3645-8498,https://www.google.com/maps/search/?api1&queryNasi%20Campur%20Ayam%20Jokwi%20Singaraja&query_place_idChIJ45l2Xw2a0S0RdspdVLBP2Gw,Nasi restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Warung makan Babi Genyol,4.8,5,V32X+HPJ,Buleleng Regency,,+62 812-3754-3554,https://www.google.com/maps/search/?api1&queryWarung%20makan%20Babi%20Genyol&query_place_idChIJxW7aJUGR0S0R9XH9pUaoSXM,Nasi restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Warung Nasi Be Kebo,4.8,6,"W46J+MFF, Jl. Raya Sangsit",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Nasi%20Be%20Kebo&query_place_idChIJUaxRvS2X0S0Rlhb-S63aDxo,Nasi restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
Ableh Kopi & Kelapa Bakar,4.8,43,Desa Sanggulan No.kelurahan,Tabanan Regency,,+62 813-5335-1322,https://www.google.com/maps/search/?api1&queryAbleh%20Kopi%20%26%20Kelapa%20Bakar&query_place_idChIJT41is0870i0RPf89unzorGA,Restaurant,True,True,True,False,False,False,False,3,Sedang,0,1,0,2
Barclona Lovina Bar & Restaurant,4.8,314,Jl. Mawar,Buleleng Regency,,+62 362 41894,https://www.google.com/maps/search/?api1&queryBarclona%20Lovina%20Bar%20%26%20Restaurant&query_place_idChIJ3-BLdz6b0S0RBXz-5FN67cQ,Restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Blayag Bu Kriting,4.8,21,Jl. Gajah Mada No.10,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryBlayag%20Bu%20Kriting&query_place_idChIJl9QWtA6R0S0RiF7dkRuZ-q4,Restaurant,False,False,False,False,False,False,True,1,Rendah,0,0,1,3
CUMI CUMI SPORTS LOUNGE,4.8,243,"Kalibukbuk, Jl. Mawar",Buleleng Regency,,+62 877-3457-3486,https://www.google.com/maps/search/?api1&queryCUMI%20CUMI%20SPORTS%20LOUNGE&query_place_idChIJgfFB66ib0S0RjcUTBhlkaFk,Restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Depot Hong,4.8,6,"V3WR+8CQ, Jl. Surapati",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryDepot%20Hong&query_place_idChIJIYJFKwaa0S0Ry5WEBA0-uHc,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Happy Nice,4.8,136,,Buleleng Regency,,+62 877-6291-5128,https://www.google.com/maps/search/?api1&queryHappy%20Nice&query_place_idChIJd9d_ovia0S0RDfPHZCtK41o,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Lalapan Laksamana,4.8,16,"V3GM+5J2, Jl. Laksamana-Baktiseraga",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryLalapan%20Laksamana&query_place_idChIJrSs-znqb0S0R3h2WVUm4oiA,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Lapis Karet Lik Tabanan,4.8,8,Jl. Pulau Menjangan No.65,Tabanan Regency,,+62 899-0115-612,https://www.google.com/maps/search/?api1&queryLapis%20Karet%20Lik%20Tabanan&query_place_idChIJrxsnAl470i0R6d6DQwezjTU,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Mai grill’Lan,4.8,4,"Jl. Srikandi gang Durian II BTN Balai Nuansa Indah Blok C21, Banjar Babakan, Desa Sambangi",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryMai%20grill%E2%80%99Lan&query_place_idChIJv9nVJoub0S0RXMw7VLfIzds,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Ocean Paradise Beachfront Restaurant,4.8,10,,Singraja,,+62 812-3697-3939,https://www.google.com/maps/search/?api1&queryOcean%20Paradise%20Beachfront%20Restaurant&query_place_idChIJj9s9FWSX0S0RxkEZSUuNtiM,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
RM Jaya Serasi,4.8,20,Jl. Pulau Menjangan No.49,Tabanan Regency,,+62 821-4688-9992,https://www.google.com/maps/search/?api1&queryRM%20Jaya%20Serasi&query_place_idChIJu5-BVl460i0RRm0Cfd_7WuA,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Starfish Bar and Restaurant,4.8,19,Jl. Kartika,Buleleng Regency,,+62 877-2277-0222,https://www.google.com/maps/search/?api1&queryStarfish%20Bar%20and%20Restaurant&query_place_idChIJm7VTaACb0S0Rp6w6MVOJ2kU,Restaurant,True,False,False,False,False,False,False,1,Rendah,0,1,0,2
Waroeng D'Bukit 2,4.8,4,Jl. Srimadya No.81119,Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWaroeng%20D'Bukit%202&query_place_idChIJmeDnIryR0S0R3VCtGCfUBs0,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Warung Bu Agus,4.8,6,"F443+MQV, Jl. Garuda",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Bu%20Agus&query_place_idChIJQYXaF3s60i0RFzZ2PTs5JxY,Restaurant,True,False,False,False,False,False,True,2,Sedang,0,0,1,3
Warung Indra,4.8,54,,Buleleng Regency,,+62 819-3632-2480,https://www.google.com/maps/search/?api1&queryWarung%20Indra&query_place_idChIJgQRWahqb0S0RWKeZvpPzV-A,Restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Warung LONCENG & catering,4.8,8,,Buleleng Regency,,+62 812-3810-5867,https://www.google.com/maps/search/?api1&queryWarung%20LONCENG%20%26%20catering&query_place_idChIJwdjabwWb0S0RmNoAP9En2QU,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Warung Special Seblak,4.8,8,Jl. Mawar No.77,Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Special%20Seblak&query_place_idChIJY5n4TwA70i0RksVWX69stIg,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Warung TopSpot,4.8,5,Jl. Nakula No.2,Buleleng Regency,,+62 889-8702-2870,https://www.google.com/maps/search/?api1&queryWarung%20TopSpot&query_place_idChIJOzIJg3Cb0S0RmNFsUjXU-C0,Restaurant,False,False,True,False,False,False,False,1,Rendah,0,1,0,2
Sate Mek Ngah (Sate Serapah Kakul dan Sapi),4.8,12,V3WV+J56,Buleleng Regency,,,https://www.google.com/maps/search/?api1&querySate%20Mek%20Ngah%20(Sate%20Serapah%20Kakul%20dan%20Sapi)&query_place_idChIJQbmOohCb0S0RUo5QdA62yvU,Satay restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Zen's Home,4.8,26,"Ayodya Residence Blok D. 2, Jl. Kumba Karna No.LC 10",Buleleng Regency,,+62 815-2943-3629,https://www.google.com/maps/search/?api1&queryZen's%20Home&query_place_idChIJX5bn-_BB0i0R1nPvUlD4-WI,Smart shop,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Soto Ayam Surabaya,4.8,84,Jl. A. Yani No.25h,Buleleng Regency,,,https://www.google.com/maps/search/?api1&querySoto%20Ayam%20Surabaya&query_place_idChIJDTFh7gua0S0R9BsdzFQI7y8,Soto ayam restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Warung Soto Ayam Mas Bejo,4.8,4,Pasar kodok(OB,Tabanan Regency,,+62 822-5932-0034,https://www.google.com/maps/search/?api1&queryWarung%20Soto%20Ayam%20Mas%20Bejo&query_place_idChIJo_YYpLY70i0Rt-rL8KUQykI,Soto ayam restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Wr. Soto Buk Edd,4.8,56,"V3GJ+QFF, Jl. Dewi Uma Gg. Padi",Buleleng Regency,,+62 877-6278-9046,https://www.google.com/maps/search/?api1&queryWr.%20Soto%20Buk%20Edd&query_place_idChIJ91Ykzm-a0S0R0_gIgOpATg8,Soto ayam restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
Nasi Soto SGM,4.8,45,Jl. Kaswari No.3,Tabanan Regency,,+62 819-9939-3137,https://www.google.com/maps/search/?api1&queryNasi%20Soto%20SGM&query_place_idChIJwUJuG9070i0RNhfUUbkMiRU,Soto restaurant,False,False,True,False,False,False,True,2,Sedang,0,1,0,2
Warung Tipat Tahu Pak Nurul,4.8,24,Jl. Gajah Mada No.120,Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Tipat%20Tahu%20Pak%20Nurul&query_place_idChIJnahCfmA70i0RSp4AnP8cNUw,Tofu restaurant,False,True,False,False,False,False,False,1,Rendah,0,0,1,3
Bakso Mas Gatot,3.8,16,"V3FM+W2G, Jl. Laksamana",Buleleng Regency,,+62 813-1622-2744,https://www.google.com/maps/search/?api1&queryBakso%20Mas%20Gatot&query_place_idChIJc3MIwMub0S0RwagWXgKY_0A,Bakso restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Nasi Angin Dimas,3.8,42,Jl. Yeh Gangga I,Tabanan Regency,,+62 822-3771-7976,https://www.google.com/maps/search/?api1&queryNasi%20Angin%20Dimas&query_place_idChIJY4qiZ9k70i0RnikCG3qWFds,Balinese restaurant,False,False,False,False,False,False,True,1,Rendah,0,1,0,2
Warung Bu Ayu,3.8,6,"W45C+HXW, Jalan",Buleleng Regency,,+62 878-5311-8645,https://www.google.com/maps/search/?api1&queryWarung%20Bu%20Ayu&query_place_idChIJ_W7Kek-X0S0RE-9tYV-IUUM,Breakfast restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Bakso Pak Yanto,3.8,14,Jl. Mawar No.36,Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryBakso%20Pak%20Yanto&query_place_idChIJ286Svo870i0Rs7Miiu2y61A,Brunch restaurant,False,False,True,False,False,False,True,2,Sedang,0,0,1,3
Warung Ikan Asap,3.8,4,"F429+2JH, Jl. Bedugul Sel. Asri",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Ikan%20Asap&query_place_idChIJ292CF0I60i0RRIQKQe7Aa-k,Ikan bakar restaurant,False,False,False,False,False,False,False,0,Rendah,0,0,1,3
Warung Jaya,3.8,5,"V3GM+5JQ, Jl. Laksamana",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Jaya&query_place_idChIJ-ZuBVwCb0S0RQjhnna8lfBQ,Indonesian restaurant,True,False,False,False,False,False,False,1,Rendah,0,0,1,3
ABAH BAGY BANDUNGwaroeng,3.8,4,Jl. Pesona Rajawali No.B 18,Tabanan Regency,,+62 812-9177-229,https://www.google.com/maps/search/?api1&queryABAH%20BAGY%20BANDUNGwaroeng&query_place_idChIJ63R23zw70i0RLZbPGuFJUjQ,Restaurant,True,False,False,False,False,False,True,2,Sedang,0,1,0,2
Lalapan Mas Joki,3.8,4,"V3F9+6Q9, Jl. Serma Karma",Buleleng Regency,,+62 898-8084-830,https://www.google.com/maps/search/?api1&queryLalapan%20Mas%20Joki&query_place_idChIJ0_FraF2a0S0R7GanYjMaDXk,Restaurant,False,False,False,False,False,False,False,0,Rendah,0,1,0,2
