title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YT,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
Jenja Club Kuta,3.9,217.0,"TS Suites, Jl. Nakula Seminyak No.18",Badung Regency,,+62 811-3988-088,https://www.google.com/maps/search/?api1&queryJenja%20Club%20Kuta&query_place_idChIJo-Layt5G0i0RgKvo82SzFVw,True,False,False,False,1,Sedang,0,1,2,5
Pyramid Club Bali,3.9,166.0,Jl. Dewi Sri No.33,Badung Regency,,+62 361 8500300,https://www.google.com/maps/search/?api1&queryPyramid%20Club%20Bali&query_place_idChIJw4sNR89G0i0RvfRGoipKM1k,True,False,False,False,1,Sedang,0,1,2,5
Red Ruby Bali,3.9,646.0,"Seminyak No.919, Jl. Petitenget",Badung Regency,https://redrubygroup.com/,+62 819-0637-4621,https://www.google.com/maps/search/?api1&queryRed%20Ruby%20Bali&query_place_idChIJ9ctvCRJH0i0Rx72zqnf3UAo,True,False,False,False,1,Sedang,1,1,4,3
Hatch Uluwatu,4.8,7642.0,Jl. Labuansait No.54,Badung Regency,https://hatchuluwatu.com/bookings,+62 812-3784-9747,https://www.google.com/maps/search/?api1&queryHatch%20Uluwatu&query_place_idChIJoeoD4wFF0i0RTVXPW1YXjP0,True,True,False,False,2,Tinggi,1,1,4,3
Hush! Social House,4.8,52.0,"Pertokoan Mama Leon, Jl. Letda Tantular",Denpasar City,,+62 812-6263-9996,https://www.google.com/maps/search/?api1&queryHush!%20Social%20House&query_place_idChIJJz9XAABB0i0RvClmvrUMCqk,True,True,False,False,2,Tinggi,0,1,5,2
Impresario Clubhouse,4.8,107.0,"Kenja Square 3rd Floor, Jl. Pantai Mengiat Banjar Peminga No.7 Lot RA",Badung Regency,https://www.impresarioclub.com/,+62 811-3990-035,https://www.google.com/maps/search/?api1&queryImpresario%20Clubhouse&query_place_idChIJGRbCe3ZD0i0RZ-TZxRrqhUY,True,True,False,False,2,Tinggi,1,1,4,3
Madawa Bali,4.8,532.0,Jl. Astina Pura Jl. Raya Kampial No.1,Badung Regency,https://www.madawabali.com/,+62 811-3940-1999,https://www.google.com/maps/search/?api1&queryMadawa%20Bali&query_place_idChIJ5byX7bld0i0RKBCdwZTiu58,True,True,True,False,3,Sangat tinggi,1,1,0,1
Midnight Tokyo Club Bali,4.8,50.0,"8557+88J, Jl. Camplung Tanduk",Badung Regency,https://www.midnight-tokyo.com/,+62 823-2211-3447,https://www.google.com/maps/search/?api1&queryMidnight%20Tokyo%20Club%20Bali&query_place_idChIJq7YkE9tH0i0RE444cnX1_3A,True,False,False,False,1,Sedang,1,1,4,3
Sakura pub,4.8,234.0,"Parkir, Jl. Pantai Batu Bolong",Denpasar,,+62 813-3721-5880,https://www.google.com/maps/search/?api1&querySakura%20pub&query_place_idChIJ5cVKewNH0i0RWz3W9UN6Z2I,False,False,False,False,0,Rendah,0,1,2,5
The Iron Fairies Bali,4.8,4107.0,Jl. Petitenget No.19x,Badung Regency,https://www.theironfairies.co.id/,+62 899-9999-123,https://www.google.com/maps/search/?api1&queryThe%20Iron%20Fairies%20Bali&query_place_idChIJQ5l7Df1H0i0RdiEgN090Cuw,True,True,True,False,3,Sangat tinggi,1,1,0,1
Blue Sapphire Club & Bar,3.8,18.0,"The Stones Entertainment Center, Jl. Pantai Kuta",Badung Regency,,+62 361 766100,https://www.google.com/maps/search/?api1&queryBlue%20Sapphire%20Club%20%26%20Bar&query_place_idChIJ5ZILrsFG0i0RqYuf-7IxaXg,False,False,True,False,1,Sedang,0,1,2,5
Komplek Gunung Lawu,3.8,101.0,Jl. Teges Nunggal No.15,Badung Regency,,,https://www.google.com/maps/search/?api1&queryKomplek%20Gunung%20Lawu&query_place_idChIJozLmT2pD0i0R_enQEO7gg6A,False,False,False,False,0,Rendah,0,0,1,7
Atlas Super Club,4.7,2636.0,Jl. Pantai Berawa No.88,Badung Regency,https://atlasbeachfest.com/super-club,+62 361 3007222,https://www.google.com/maps/search/?api1&queryAtlas%20Super%20Club&query_place_idChIJNYE3V1VH0i0RH5XbZz848tM,True,True,True,True,4,Sangat tinggi,1,1,0,1
Avera,4.7,544.0,"Averabali, Jl. Raya Legian No.88",Badung Regency,https://www.instagram.com/averabali/,+62 852-8007-3545,https://www.google.com/maps/search/?api1&queryAvera&query_place_idChIJjawVQaxH0i0RIPOcem8Mask,True,True,True,False,3,Sangat tinggi,1,1,0,1
Black Betty Late Night Bar,4.7,37.0,"Second Floor, Above Tusk, Jl. Pantai Bingin No.1",Badung Regency,https://www.blackbettybali.com/,+62 822-3463-2042,https://www.google.com/maps/search/?api1&queryBlack%20Betty%20Late%20Night%20Bar&query_place_idChIJzyjAtRtF0i0ReHAGB11Kuqg,True,True,True,False,3,Sangat tinggi,1,1,0,1
Boogie Nights Bali,4.7,3.0,Jl. Canggu Padang Linjong,Badung Regency,http://boogienightsbali.com/,,https://www.google.com/maps/search/?api1&queryBoogie%20Nights%20Bali&query_place_idChIJWRcg3bg50i0RzFHR-VuNUxg,False,False,False,False,0,Rendah,1,0,3,4
Double You Cafe,4.7,9.0,W449+JQ6,Buleleng Regency,,+62 819-9953-8089,https://www.google.com/maps/search/?api1&queryDouble%20You%20Cafe&query_place_idChIJj-ArFr2R0S0RthQmIq618jw,False,False,False,False,0,Rendah,0,1,2,5
Lapangan sembung meranggi,4.7,3.0,"F3PR+W3M, Jl. Raya Denpasar - Gilimanuk",Tabanan Regency,,+62 821-4521-9342,https://www.google.com/maps/search/?api1&queryLapangan%20sembung%20meranggi&query_place_idChIJ7TxZZ_Qx0i0RDGX2Gk3yj9U,False,False,False,False,0,Rendah,0,1,2,5
Miss Fish Bali,4.7,1943.0,Jl. Raya Semat No.4,Badung Regency,https://www.missfishbali.com/,,https://www.google.com/maps/search/?api1&queryMiss%20Fish%20Bali&query_place_idChIJYcKvqiJH0i0RtzWDiRmCnI0,True,True,False,False,2,Tinggi,1,0,3,4
PENIDA COLADA Beachfront Restaurant and Bar,4.7,6096.0,"8GF6+PQ8, Jl. Ped-Buyuk",Klungkung Regency,https://penidacolada.com/?utm_sourcegoogle-my-business&utm_mediumorganic,+62 813-3627-603,https://www.google.com/maps/search/?api1&queryPENIDA%20COLADA%20Beachfront%20Restaurant%20and%20Bar&query_place_idChIJNz-efFFy0i0RlOhVXzPzyCg,True,False,True,False,2,Tinggi,1,1,4,3
ShiShi Nightclub & Izakaya Lounge,4.7,9774.0,Jl. Petitenget No.208X,Badung Regency,http://www.shishibali.com/,+62 819-1888-8059,https://www.google.com/maps/search/?api1&queryShiShi%20Nightclub%20%26%20Izakaya%20Lounge&query_place_idChIJpaq6LTxH0i0R-sLTkZu2JjY,True,True,False,False,2,Tinggi,1,1,4,3
Terminus,4.7,42.0,"Jl. Raya Kerobokan.88, Jl. Raya Kerobokan No.88",Badung Regency,https://instagram.com/terminusbali,+62 887-0304-8797,https://www.google.com/maps/search/?api1&queryTerminus&query_place_idChIJ00g0JBBH0i0Ruuk3w9XC7ek,True,False,False,False,1,Sedang,1,1,4,3
Theatre Bar Bali,4.7,93.0,Jl. Pantai Batu Bolong No.11,Badung Regency,https://www.instagram.com/theatrebarbali?igsheW90bWdoc3RrcDN1,+62 821-4539-0632,https://www.google.com/maps/search/?api1&queryTheatre%20Bar%20Bali&query_place_idChIJoxu1iFI50i0RhrPIxZToeEw,True,False,False,False,1,Sedang,1,1,4,3
White Rock Beach Club,4.7,4265.0,"Pantai Melasti, Uluwatu Jl. Melasti",Badung Regency,https://whiterockbali.com/,+62 812-3000-3001,https://www.google.com/maps/search/?api1&queryWhite%20Rock%20Beach%20Club&query_place_idChIJMxWmdJZb0i0REiKS_shPKRo,True,False,False,False,1,Sedang,1,1,4,3
Les Toilettes by K club,3.7,61.0,85H7+F2V,Badung Regency,https://www.kclubgroup.com/les-toilettes?utm_sourcegoogle&utm_mediumorganic&utm_campaigngoogle_business_les_toilettes&utm_contentmaps_listing,+62 812-2787-4120,https://www.google.com/maps/search/?api1&queryLes%20Toilettes%20by%20K%20club&query_place_idChIJ_W7zCwBH0i0RA03Rh9DSbuU,True,False,True,False,2,Tinggi,1,1,4,3
WALLS | Dance Club,3.7,71.0,Jl. Canggu Padang Linjong,Badung Regency,http://wallsspace.com/,,https://www.google.com/maps/search/?api1&queryWALLS%20%7C%20Dance%20Club&query_place_idChIJCe_4Nbo50i0RUqIldNOsjmI,True,False,False,False,1,Sedang,1,0,3,4
Bali Club Jimbaran,4.6,22.0,"55W5+8VP, Uluwatu St No.19",Badung Regency,http://www.baliclubjimbaran.net/,+62 823-3920-7814,https://www.google.com/maps/search/?api1&queryBali%20Club%20Jimbaran&query_place_idChIJeQyrOJFF0i0RQhdhMu9XOV4,True,False,False,False,1,Sedang,1,1,4,3
Bukit Alang Alang Batugede,4.6,8.0,GFQV+H56,Karangasem Regency,,+62 812-4657-8290,https://www.google.com/maps/search/?api1&queryBukit%20Alang%20Alang%20Batugede&query_place_idChIJeWdhvhkF0i0RtPPQx3kWkuQ,False,False,True,False,1,Sedang,0,1,2,5
Eva jnani’s,4.6,5.0,Jl. Sekar Tunjung XVIII No.100,Denpasar City,,,https://www.google.com/maps/search/?api1&queryEva%20jnani%E2%80%99s&query_place_idChIJA83G-Hk_0i0RycdE6G56ejA,False,False,False,False,0,Rendah,0,0,1,7
Frankensteins Laboratory,4.6,1749.0,Jl. Camplung Tanduk No.6,Badung Regency,https://www.frankensteins-laboratory.com/,+62 361 731622,https://www.google.com/maps/search/?api1&queryFrankensteins%20Laboratory&query_place_idChIJ_X3osSFH0i0RVScLWpAzVU8,True,True,True,True,4,Sangat tinggi,1,1,0,1
SandatBali Cafe,4.6,5.0,867R+F84,Denpasar City,,+62 812-2807-0808,https://www.google.com/maps/search/?api1&querySandatBali%20Cafe&query_place_idChIJQwvKCfdB0i0Ru_sRvXmOKhw,True,False,False,False,1,Sedang,0,1,2,5
The Mesa Bali,4.6,1575.0,Jl. Pantai Berawa,Badung Regency,https://www.themesabali.com/?utm_sourcegmb&utm_mediumorganic&utm_campaigngmb,+62 812-3738-8745,https://www.google.com/maps/search/?api1&queryThe%20Mesa%20Bali&query_place_idChIJO4hKUvo50i0RKK7PMOs6qoQ,True,True,True,True,4,Sangat tinggi,1,1,0,1
Black Sugar Bali,4.5,43.0,Jl. Pantai Berawa No.48,Badung Regency,http://www.instagram.com/blacksugarbali,+62 877-2667-4002,https://www.google.com/maps/search/?api1&queryBlack%20Sugar%20Bali&query_place_idChIJvaeCcu1H0i0RBOZp5lytZaE,False,False,True,False,1,Sedang,1,1,4,3
Boshe VVIP Club,4.5,2736.0,Jl. Bypass Ngurah Rai No.89,Badung Regency,,+62 361 754461,https://www.google.com/maps/search/?api1&queryBoshe%20VVIP%20Club&query_place_idChIJ3d3CfrJG0i0R-1z3OGJlWY8,True,False,True,False,2,Tinggi,0,1,5,2
Homies Agus Ary,4.5,2.0,"G5FF+VX4, Jl. Kekeran Manikgunung",Tabanan Regency,,+62 822-4725-7257,https://www.google.com/maps/search/?api1&queryHomies%20Agus%20Ary&query_place_idChIJi4mprVEl0i0R9bV74gImVEM,True,True,False,False,2,Tinggi,0,1,5,2
Klymax Discotheque,4.5,185.0,"Desa Potato Head Bali, Jl. Petitenget No.51B",Badung Regency,https://klymax.co/?utm_sourcegoogle&utm_mediumgmb&utm_campaignklymax&utm_termnight-club&utm_contentlanding-page,+62 361 6207979,https://www.google.com/maps/search/?api1&queryKlymax%20Discotheque&query_place_idChIJFX753VRH0i0R46FEjYlV4SU,True,False,True,False,2,Tinggi,1,1,4,3
LXXY Bali,4.5,1865.0,Jln Legian No.71,Badung Regency,,+62 813-1003-0066,https://www.google.com/maps/search/?api1&queryLXXY%20Bali&query_place_idChIJuT1uL7pG0i0RoOHkiamquik,True,True,False,False,2,Tinggi,0,1,5,2
Puri Gede Lendris Kaung Bali,4.5,2.0,"HG2F+H6G, Jl. Telaga",Karangasem Regency,,,https://www.google.com/maps/search/?api1&queryPuri%20Gede%20Lendris%20Kaung%20Bali&query_place_idChIJXb5ho58F0i0RDehUVfLheTk,False,False,False,False,0,Rendah,0,0,1,7
The Stage,4.5,158.0,Jl. Kayu Aya No.7,Badung Regency,https://www.thestage.net/,+62 811-3831-4177,https://www.google.com/maps/search/?api1&queryThe%20Stage&query_place_idChIJvXx0LA5H0i0ReP66NVaZQgc,True,False,False,False,1,Sedang,1,1,4,3
Vault Nightclub Bali,4.5,2000.0,Jl. Pantai Berawa No.99,Badung Regency,https://www.vault-bali.com/,,https://www.google.com/maps/search/?api1&queryVault%20Nightclub%20Bali&query_place_idChIJYWZP2EFH0i0RrP3VLGk11MY,True,False,False,True,2,Tinggi,1,0,3,4
Averabali Nightclub,4.4,48.0,Jln Legian No.88,Badung Regency,https://www.instagram.com/averaclubbali/,+62 878-6017-6988,https://www.google.com/maps/search/?api1&queryAverabali%20Nightclub&query_place_idChIJd4xfE8JH0i0RhrZeCwTlzQ8,True,True,True,False,3,Sangat tinggi,1,1,0,1
Behind The Green Door,4.4,349.0,Jl. Subak Sari No.90a Level 2,Badung Regency,https://kilo-collective.com/our-venue/behind-the-green-door/,+62 823-4005-9928,https://www.google.com/maps/search/?api1&queryBehind%20The%20Green%20Door&query_place_idChIJiZZgvstH0i0Rhg-mdkz72Y4,True,True,False,False,2,Tinggi,1,1,4,3
Brother Club Bali,4.4,278.0,"Jln Legian No.36, Kuta, Bali, 80361",Badung Regency,,081252638399,https://maps.app.goo.gl/t3AyegkvwgfQP7JMA,True,True,True,True,4,Sangat tinggi,0,1,5,2
Dur Ã Cuire,4.4,14.0,Jl. Petitenget No.7A,Badung Regency,,+62 821-9495-4088,https://www.google.com/maps/search/?api1&queryDur%20%C3%83%20Cuire&query_place_idChIJq4qHgpZH0i0RFGd9MeO2zzA,False,False,False,False,0,Rendah,0,1,2,5
HW Livehouse Bali,4.4,87.0,"Jl. Patih Jelantik, Komp. Istana Kuta Galeria",Badung Regency,,+62 811-1624-898,https://www.google.com/maps/search/?api1&queryHW%20Livehouse%20Bali&query_place_idChIJ78ZUahlH0i0RxPj1J5fvJNg,True,True,False,True,3,Sangat tinggi,0,1,5,2
La Favela,4.4,20834.0,Jl. Laksamana Basangkasa No.177X,Badung Regency,https://lafavelabali.com/,+62 818-0210-0010,https://www.google.com/maps/search/?api1&queryLa%20Favela&query_place_idChIJy7e5hxdH0i0RjAOjvEGFCTI,True,True,True,False,3,Sangat tinggi,1,1,0,1
No Más,4.4,1189.0,Jl. Monkey Forest,Gianyar Regency,http://www.nomasubud.com/,+62 361 9080800,https://www.google.com/maps/search/?api1&queryNo%20M%C3%A1s&query_place_idChIJ-xguMW090i0R-c6_yAg03Y8,True,False,False,False,1,Sedang,1,1,4,3
Old Man's,4.4,6318.0,"old man's, Jl. Pantai Batu Bolong No.117X",Badung Regency,https://oldmans.net/,+62 361 8469158,https://www.google.com/maps/search/?api1&queryOld%20Man's&query_place_idChIJ21XBrn040i0Rjf7GPV4so38,True,False,False,False,1,Sedang,1,1,4,3
Tiger Residence,4.4,5.0,"9564+JJH, Gg. Pd. Asri",Badung Regency,,+62 878-0067-3009,https://www.google.com/maps/search/?api1&queryTiger%20Residence&query_place_idChIJe2c50pM40i0R1mPt-ub6gWM,False,False,False,False,0,Rendah,0,1,2,5
Tyaris Net,3.4,10.0,"V4JH+795, Jl. Raya Penarukan",Buleleng Regency,,+62 859-3526-2646,https://www.google.com/maps/search/?api1&queryTyaris%20Net&query_place_idChIJqxdwnu-Q0S0RjngwNBykPq8,False,False,False,False,0,Rendah,0,1,2,5
MABES JMA,4.3,4.0,HG2F+42M,Karangasem Regency,,,https://www.google.com/maps/search/?api1&queryMABES%20JMA&query_place_idChIJ74N6S54F0i0RSuqu_UmYHic,False,False,False,False,0,Rendah,0,0,1,7
TOP NiNe cafe,4.3,18.0,Jl. Danau Tempe No.12,Denpasar City,,+62 821-4422-2222,https://www.google.com/maps/search/?api1&queryTOP%20NiNe%20cafe&query_place_idChIJDbCgLztB0i0RVVNus4Fvrus,False,False,False,False,0,Rendah,0,1,2,5
TRIPLE K,4.3,12.0,Jl. Tanah Putih No.100,Badung Regency,,,https://www.google.com/maps/search/?api1&queryTRIPLE%20K&query_place_idChIJ_1lj2kk_0i0R8TyBPUrc8dg,False,False,False,False,0,Rendah,0,0,1,7
WAROENG SUKA SUKA,4.3,12.0,V4VC+485,Buleleng Regency,,+62 877-6007-3299,https://www.google.com/maps/search/?api1&queryWAROENG%20SUKA%20SUKA&query_place_idChIJ4csQK6KR0S0RoyeKeHI9Lks,False,False,False,False,0,Rendah,0,1,2,5
Warung Kizi - Kizi,4.3,16.0,"J49F+929, Jalan",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryWarung%20Kizi%20-%20Kizi&query_place_idChIJM4NfmLsn0i0RjkZ_VFAczSg,False,False,False,False,0,Rendah,0,0,1,7
Baba Yaga’s resting grounds,4.2,6.0,"Q46Q+6XH Camping Ground, Taman Wisata Gangga Buyan Jl. Wisata Alam Danau Buyan",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryBaba%20Yaga%E2%80%99s%20resting%20grounds&query_place_idChIJFaqVdQCP0S0RyU-mZkh36ag,False,False,False,False,0,Rendah,0,0,1,7
Bali Ngobog Activity,4.2,5.0,"PJ65+QRP, Jalan",Jembrana Regency,,+62 857-9269-2178,https://www.google.com/maps/search/?api1&queryBali%20Ngobog%20Activity&query_place_idChIJcQg56FJh0S0RKPicwbcwxvk,False,False,False,False,0,Rendah,0,1,2,5
"CP Lounge Ubud - Bar, Restaurant & Club",4.2,2817.0,Jl. Monkey Forest No.15,Gianyar Regency,http://cp-lounge.com/,+62 878-6094-1556,https://www.google.com/maps/search/?api1&queryCP%20Lounge%20Ubud%20-%20Bar%2C%20Restaurant%20%26%20Club&query_place_idChIJw0tdoGw90i0RlBnfv7y6mLU,True,False,False,False,1,Sedang,1,1,4,3
Mirror - Nightclub Bali,4.2,1032.0,Jl. Petitenget Seminyak No.106,Badung Regency,https://allin.co.id/mirrorbali/,+62 811-9053-010,https://www.google.com/maps/search/?api1&queryMirror%20-%20Nightclub%20Bali&query_place_idChIJ6Vp9_BJH0i0RmoQ5Y8u9XvM,True,True,False,False,2,Tinggi,1,1,4,3
NEW STAR CLUB BALI,4.2,775.0,Jl. Gn. Soputan No.16B,Denpasar City,,,https://www.google.com/maps/search/?api1&queryNEW%20STAR%20CLUB%20BALI&query_place_idChIJMdm2ZitH0i0RcL9HkSoVZVw,True,False,False,False,1,Sedang,0,0,6,6
Shooters,4.2,18.0,Jln Legian No.101,Badung Regency,,,https://www.google.com/maps/search/?api1&queryShooters&query_place_idChIJNVCQX8NG0i0RdP8SBlas9Ik,True,False,False,False,1,Sedang,0,0,6,6
Sky Garden Bali,4.2,4163.0,Jln Legian No.60,Badung Regency,https://baliskygarden.com/,+62 811-3810-9081,https://www.google.com/maps/search/?api1&querySky%20Garden%20Bali&query_place_idChIJ1ZUrmrlG0i0RRSm24HNagqU,True,False,False,False,1,Sedang,1,1,4,3
PHOENIX KTV&CLUB,4.1,139.0,"Jl. Patih Jelantik, Komp. Istana Kuta Galeria",Badung Regency,,,https://www.google.com/maps/search/?api1&queryPHOENIX%20KTV%26CLUB&query_place_idChIJ_78W09RH0i0RRr2mwZMXb6o,True,False,False,False,1,Sedang,0,0,6,6
Savaya Bali,4.1,5499.0,Jl. Belimbing Sari,Badung Regency,http://savaya.com/,+62 811-3099-0900,https://www.google.com/maps/search/?api1&querySavaya%20Bali&query_place_idChIJrV__rE5b0i0RXnKoLXZQDEk,True,True,True,True,4,Sangat tinggi,1,1,0,1
THE WOLF BALI,4.1,76.0,Jln Legian No.177,Badung Regency,,+62 895-3411-11111,https://www.google.com/maps/search/?api1&queryTHE%20WOLF%20BALI&query_place_idChIJ-9nAk7VH0i0RwqHNMYwTKgc,True,False,False,False,1,Sedang,0,1,2,5
ZJ's Bar & Lounge,4.1,90.0,"Mulia Resort, Kawasan Sawangan, Jl. Raya Nusa Dua Selatan Jl. Nusa Dua",Badung Regency,https://muliadining.com/bali/zjsbar,+62 361 3017777,https://www.google.com/maps/search/?api1&queryZJ's%20Bar%20%26%20Lounge&query_place_idChIJ_f6yxs1c0i0RQ0VFtlEc2lI,True,False,True,False,2,Tinggi,1,1,4,3
Heights Rooftop Legian,4.9,832.0,Jln Legian No.91,Badung Regency,http://akmanilegian.com/,62 895-3530-09191,https://www.google.com/maps/search/?api=1&query=Heights%20Rooftop%20Legian&query_place_id=ChIJc9OwrJBH0i0R5V1WzV3Fp8o,False,False,False,False,0,Rendah,1,1,4,3
Agus Clubbing,5.0,1.0,RR4P+5M9,Buleleng Regency,,+62 852-3899-4855,https://www.google.com/maps/search/?api1&queryAgus%20Clubbing&query_place_idChIJE9DmQI550S0RHlaxX5CBG8A,False,False,False,False,0,Rendah,0,1,2,5
angkringan cpls,5.0,1.0,"H839+GM6, banjar",Gianyar Regency,,+62 857-9226-7925,https://www.google.com/maps/search/?api1&queryangkringan%20cpls&query_place_idChIJV7iXTmEZ0i0R1hHLnQ45bQM,False,False,False,False,0,Rendah,0,1,2,5
ARAKK QUEEN JAYAGIRI,5.0,9.0,Jl. Jayagiri XXI Gg. C No.4,Denpasar City,,+62 821-4404-0811,https://www.google.com/maps/search/?api1&queryARAKK%20QUEEN%20JAYAGIRI&query_place_idChIJNY8b0J5B0i0Rek_o7CkuHjk,True,False,False,False,1,Sedang,0,1,2,5
Archtrend Design no night club,5.0,1.0,8549+CGX,Badung Regency,,,https://www.google.com/maps/search/?api1&queryArchtrend%20Design%20no%20night%20club&query_place_idChIJwWIufd9G0i0RwK4tXIDTHOg,False,False,False,False,0,Rendah,0,0,1,7
Bagus shisha ( eltoro ubud),5.0,3.0,"F7Q5+G82, Jl. Bisma",Gianyar Regency,,,https://www.google.com/maps/search/?api1&queryBagus%20shisha%20(%20eltoro%20ubud)&query_place_idChIJCQKUVQA90i0RlR9XOTqAq6Y,False,False,False,False,0,Rendah,0,0,1,7
BALA DEWA MARKAS,5.0,6.0,Unnamed Road,Bangli Regency,,,https://www.google.com/maps/search/?api1&queryBALA%20DEWA%20MARKAS&query_place_idChIJ1e6R9TEZ0i0RCZ2jobTj5yM,False,False,False,False,0,Rendah,0,0,1,7
BALI PROJECK,5.0,1.0,Gg. Muhajirin III No.3,Denpasar City,,,https://www.google.com/maps/search/?api1&queryBALI%20PROJECK&query_place_idChIJVzd5TClB0i0RQ8Ts9bQCE1c,False,False,False,False,0,Rendah,0,0,1,7
Basecamp Tuaji barat,5.0,1.0,Gg. Batu Beji 1 No.168,Gianyar Regency,,,https://www.google.com/maps/search/?api1&queryBasecamp%20Tuaji%20barat&query_place_idChIJN-iRnwc_0i0RMLxOm2vSdKo,False,False,False,False,0,Rendah,0,0,1,7
BONA BERGETAR,5.0,1.0,"PX7G+4JC, Gg. Bona",Buleleng Regency,,,https://www.google.com/maps/search/?api1&queryBONA%20BERGETAR&query_place_idChIJXe8w2duB0S0R2TW7V44hV5E,False,False,False,False,0,Rendah,0,0,1,7
Bone,5.0,3.0,C8R8+5G5,Gianyar Regency,,,https://www.google.com/maps/search/?api1&queryBone&query_place_idChIJsy-yu-MX0i0RvMAo-6dKBHU,False,False,False,False,0,Rendah,0,0,1,7
Brandys,5.0,2.0,Jln Legian,Badung Regency,,+62 361 755423,https://www.google.com/maps/search/?api1&queryBrandys&query_place_idChIJFzrKm7lG0i0RZkyqU8yJb2E,False,False,False,False,0,Rendah,0,1,2,5
Buahan Billiar Center,5.0,1.0,"G532+659, Jl. Taman Sari",Tabanan Regency,,,https://www.google.com/maps/search/?api1&queryBuahan%20Billiar%20Center&query_place_idChIJL-ybzC070i0R_igRfQERL9U,False,False,False,False,0,Rendah,0,0,1,7
CAFE KARAOKE CLUB NIGHT,5.0,2.0,95F8+3GV,Badung Regency,,,https://www.google.com/maps/search/?api1&queryCAFE%20KARAOKE%20CLUB%20NIGHT&query_place_idChIJ9cJGSAA50i0RoIPQn3-rTME,False,False,False,False,0,Rendah,0,0,1,7
Casa Rezeki,5.0,2.0,84QV+6C5,Badung Regency,,,https://www.google.com/maps/search/?api1&queryCasa%20Rezeki&query_place_idChIJHT7EmqBH0i0R97H7JJrcw7I,False,False,False,False,0,Rendah,0,0,1,7
City of rockers,5.0,1.0,"No, Jl. Pulau Moyo No.100E",Denpasar City,,,https://www.google.com/maps/search/?api1&queryCity%20of%20rockers&query_place_idChIJw30O8ddB0i0RtnCtAgTi36o,False,False,False,False,0,Rendah,0,0,1,7
