title,totalScore,reviewsCount,street,city,website,phone,url,Instagram,Tiktok,Facebook,YouTube,jumlah_sosmed,kategori,has_website,has_phone,cluster,tier
Baratasindo Wisata Nusantara,5,1,Gg. Nakula No.12,Kota Denpasar,,+62 812-8844-9595,https://www.google.com/maps/search/?api=1&query=Baratasindo%20Wisata%20Nusantara&query_place_id=ChIJyf7N48lB0i0Re3t8ARrJI3A,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
VW Safari Bali Classic Asik,5,5,,,,+62 857-9264-5933,https://www.google.com/maps/search/?api=1&query=VW%20Safari%20Bali%20Classic%20Asik&query_place_id=ChIJyzc3xyoLOU0RfeeNr3I6wCw,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,0,1,2,4
Bali Wisata Travel,4.9,29,Jl. Tukad Petanu Gg. Pipit,Kota Denpasar,http://www.baliwisatatravel.com/,+62 812-3605-6065,https://www.google.com/maps/search/?api=1&query=Bali%20Wisata%20Travel&query_place_id=ChIJoW6Iun4_0i0R6zbVtXpWTgA,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
QueenzHa Tour & Travel,0,0,Jl. Dr. Ir. Soekarno No.9,Kabupaten Tabanan,,+62 813-3896-3280,https://www.google.com/maps/search/?api=1&query=QueenzHa%20Tour%20%26%20Travel&query_place_id=ChIJBc3960w70i0R28qb6feUUt0,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,3,6
Joni Bali Transporter,5,38,,,https://www.facebook.com/JoniBaliTransporter,+62 821-4585-4119,https://www.google.com/maps/search/?api=1&query=Joni%20Bali%20Transporter&query_place_id=ChIJz6izKNWhJ4wRF6OSGrMf3AI,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
ADINATA VICTORY TOUR & TRAVEL,0,0,"F49R+PG2, Jl. Tukad Yeh Ho",Kabupaten Tabanan,,+62 831-1534-5234,https://www.google.com/maps/search/?api=1&query=ADINATA%20VICTORY%20TOUR%20%26%20TRAVEL&query_place_id=ChIJOeSRKP460i0RXtRSEL1C5Ps,FALSE,FALSE,TRUE,FALSE,1,Sedang,0,1,3,6
"RAJESH BALI TRANSPORT, BIKE & CAR RENTAL, TOUR & TRANSPORT (OFFICIAL)",4.8,206,Jl. Sandat No.18,Kabupaten Tabanan,,+62 877-6261-9666,https://www.google.com/maps/search/?api=1&query=RAJESH%20BALI%20TRANSPORT%2C%20BIKE%20%26%20CAR%20RENTAL%2C%20TOUR%20%26%20TRANSPORT%20(OFFICIAL)&query_place_id=ChIJS4xQPuw70i0RTYdQKB3sOG8,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Insan Tour & Travel Bali - PT Insan Muda Mendunia,5,74,Jl. Cendrawasih No.7,Kabupaten Badung,,+62 819-9846-4545,https://www.google.com/maps/search/?api=1&query=Insan%20Tour%20%26%20Travel%20Bali%20-%20PT%20Insan%20Muda%20Mendunia&query_place_id=ChIJFbuF9IhB0i0RF9rtn2Yi7lY,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
ASA Tours and Travel | Transport | Bike and Car Rental | Luggage Storage and Van | Documents Handling,4.7,127,"Building, Jl. Dewi Sartika Jl. Dewi Sartika Utama No.1",Kabupaten Badung,https://asatours.id/,+62 851-7300-3683,https://www.google.com/maps/search/?api=1&query=ASA%20Tours%20and%20Travel%20%7C%20Transport%20%7C%20Bike%20and%20Car%20Rental%20%7C%20Luggage%20Storage%20and%20Van%20%7C%20Documents%20Handling&query_place_id=ChIJYTY1y5JF0i0RRrjPtCnmSw0,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Gotravela Indonesia - Online Travel Agent,4.8,618,Jl. Tukad Pancoran IV No.9A,Kota Denpasar,https://www.gotravelaindonesia.com/,+62 361 4754416,https://www.google.com/maps/search/?api=1&query=Gotravela%20Indonesia%20-%20Online%20Travel%20Agent&query_place_id=ChIJn0xvlio50i0RpDwkOA6eMKk,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Travel JTB Indonesia,4.6,137,"Jtb Indonesia Pt., Jl. Bypass Ngurah Rai No.88",Kabupaten Badung,http://www.jtb.co.jp/,+62 361 708761,https://www.google.com/maps/search/?api=1&query=Travel%20JTB%20Indonesia&query_place_id=ChIJaye3VQ5B0i0RvCgYBLWd4mw,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,4,3
Golden Rama Bali,4.6,134,Jl. Sunset Road No.78,Kabupaten Badung,https://www.goldenrama.com/,+62 361 4755999,https://www.google.com/maps/search/?api=1&query=Golden%20Rama%20Bali&query_place_id=ChIJDXSNouFA0i0RV1WIj2hWt-U,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
KCBJ Tours & Travel,4.6,310,Jl. Raya Kuta No.127,Kabupaten Badung,http://www.kcbj.tours/,+62 361 751517,https://www.google.com/maps/search/?api=1&query=KCBJ%20Tours%20%26%20Travel&query_place_id=ChIJZ1k9i6VG0i0RJMMYWOcVIqA,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Bali Fun Trip,4.9,48,Jl. Pantai Kuta,Kabupaten Badung,https://balifuntrip.com/,+62 813-3956-3003,https://www.google.com/maps/search/?api=1&query=Bali%20Fun%20Trip&query_place_id=ChIJ1XlI07JH0i0RVmAZzliOG6M,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,1,1
Tropicana Wisata Tour and Travel,5,3,Jl. Nuansa Utama Sel. No.88A,Kabupaten Badung,,+62 361 4464976,https://www.google.com/maps/search/?api=1&query=Tropicana%20Wisata%20Tour%20and%20Travel&query_place_id=ChIJ-zM-4gpF0i0RoB-2SFUPNkw,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
ITB Tour - PT. INDONESIA TRAVEL BIRO,5,13,Jl. Nakula No.57,Kabupaten Badung,http://www.xchangetours.com/,+62 813-3891-1123,https://www.google.com/maps/search/?api=1&query=ITB%20Tour%20-%20PT.%20INDONESIA%20TRAVEL%20BIRO&query_place_id=ChIJ4adEZfZH0i0RwVIC9tbsGJc,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
IndonesiaTIC / TIC MPU Kuta-Bali,4.4,63,Jl. Raya Kuta No.2,Kabupaten Badung,,+62 361 766181,https://www.google.com/maps/search/?api=1&query=IndonesiaTIC%20%2F%20TIC%20MPU%20Kuta-Bali&query_place_id=ChIJc9zVlbxG0i0RQMK8E6Ex14I,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Penida tour sharing & fast boat bali - gili island - lombok,4.9,72,Jl. Braban,Kabupaten Badung,https://tantulika12.wixsite.com/travel/17,+62 857-3800-9622,https://www.google.com/maps/search/?api=1&query=Penida%20tour%20sharing%20%26%20fast%20boat%20bali%20-%20gili%20island%20-%20lombok&query_place_id=ChIJ_zpIfeRH0i0RKlkj0oYBRa4,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,4,3
Kawan Trip Travel,5,4,Gg. Sadasari Gg. Kelor No.1,Kabupaten Badung,,+62 859-5481-3993,https://www.google.com/maps/search/?api=1&query=Kawan%20Trip%20Travel&query_place_id=ChIJM3ErUZxH0i0Rdo843n6krmA,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Agent Tour /Traveling Bali,0,0,"756C+J6Q, Jl. Kediri",Kabupaten Badung,,+62 858-8256-7080,https://www.google.com/maps/search/?api=1&query=Agent%20Tour%20%2FTraveling%20Bali&query_place_id=ChIJ765RpB5E0i0RFRiKqEzG-Ec,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,3,6
D' Tours Bali,5,11,Jl. Dewi Sartika No.20,Kabupaten Badung,,+62 857-3847-1066,https://www.google.com/maps/search/?api=1&query=D'%20Tours%20Bali&query_place_id=ChIJhfOxe1eUkYsRT246LNGL75c,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
Arthania Bali Journey Tours,5,20,Jl. Kubu Anyar Gg. Kubu,Kabupaten Badung,https://arthaniabalijourney.com/,+62 812-3900-5229,https://www.google.com/maps/search/?api=1&query=Arthania%20Bali%20Journey%20Tours&query_place_id=ChIJOfkBu4ZB0i0Rec7mJHc8gTU,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
tripvalid tour & travel,5,10,"Park 23 bali creative hub, Jl. Kediri 3rd Floor",Kabupaten Badung,,+62 812-3114-9424,https://www.google.com/maps/search/?api=1&query=tripvalid%20tour%20%26%20travel&query_place_id=ChIJSS-x8yJF0i0RLGcdjG7bGrI,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
Going bali tour,4.9,108,,Kabupaten Badung,http://www.goingbalitour.com/,+62 812-3838-2400,https://www.google.com/maps/search/?api=1&query=Going%20bali%20tour&query_place_id=ChIJK8PWAK5F0i0RbKpBZ0_KpEQ,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Tour Rental Bali / Bli Made Transport dan Rental Bali,4.8,13,Jl. Bhineka Jati Jaya No.X,Kabupaten Badung,http://www.tourrentalbali.com/,+62 813-3701-8357,https://www.google.com/maps/search/?api=1&query=Tour%20Rental%20Bali%20%2F%20Bli%20Made%20Transport%20dan%20Rental%20Bali&query_place_id=ChIJHXQq5MNF0i0RISJlYW6N9cI,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Widana Tour Bali,5,15,Jl. Bhineka Jati Jaya VIII No.54,Kabupaten Badung,,+62 819-1633-0017,https://www.google.com/maps/search/?api=1&query=Widana%20Tour%20Bali&query_place_id=ChIJycbAV5NF0i0RxM6G8Miupt8,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
Bali X Tour,0,0,"CT1, Jl. Raya Tuban",Kabupaten Badung,,+62 821-4030-4000,https://www.google.com/maps/search/?api=1&query=Bali%20X%20Tour&query_place_id=ChIJg1ruX0ZF0i0RawkO2z9O_wY,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,3,6
Bali car rental | Bali car hire with driver | Bali araç kiralama | Bali araba kiralama |$35/10 hours| www.emenbalitour.com,4.9,38,Jl. Pudak Sari,Kabupaten Badung,https://www.emenbalitour.com/,+62 821-4428-3977,https://www.google.com/maps/search/?api=1&query=Bali%20car%20rental%20%7C%20Bali%20car%20hire%20with%20driver%20%7C%20Bali%20ara%C3%A7%20kiralama%20%7C%20Bali%20araba%20kiralama%20%7C%2435%2F10%20hours%7C%20www.emenbalitour.com&query_place_id=ChIJZcc1cGdH0i0RaghY_zF4LDY,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Transportdibali,5,18,"758G+HHF, Jl. Nyangnyang Sari",Kabupaten Badung,https://www.instagram.com/transportdi.bali?igsh=bGQycHV1ZnkwdXlo,+62 823-3160-1602,https://www.google.com/maps/search/?api=1&query=Transportdibali&query_place_id=ChIJZcWwRwBF0i0RhW9nxTsVyBs,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,4,3
Balinesia Travel Group,3.9,7,Jl. Bhineka Jati Jaya,Kabupaten Badung,http://www.balinesiabooking.com/,+62 818-0804-0808,https://www.google.com/maps/search/?api=1&query=Balinesia%20Travel%20Group&query_place_id=ChIJ-UbMBkFF0i0Rami8VkNNdC0,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Gamat Bali Tour,5,3,"X, Jl. Bhineka Jati Jaya No.10",Kabupaten Badung,,+62 819-9902-0806,https://www.google.com/maps/search/?api=1&query=Gamat%20Bali%20Tour&query_place_id=ChIJy3u76h1E0i0R5tlvpdoJv38,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,4
De Bali Wisata Tour,0,0,Jl. Bhineka Jati Jaya No.X No 10,Kabupaten Badung,,+62 852-3783-6806,https://www.google.com/maps/search/?api=1&query=De%20Bali%20Wisata%20Tour&query_place_id=ChIJb_iwLx1E0i0RoE6s_ZgW1Bw,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,3,6
Zahra Tour & Travel,3.7,3,Jl. Kediri Jl. Park XXIII,Kabupaten Badung,,+62 812-3752-0461,https://www.google.com/maps/search/?api=1&query=Zahra%20Tour%20%26%20Travel&query_place_id=ChIJtxd-RVNF0i0RDAcJ-N_jZLs,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Ameilya Tour & Travel,0,0,,,,+62 812-3685-4392,https://www.google.com/maps/search/?api=1&query=Ameilya%20Tour%20%26%20Travel&query_place_id=ChIJYab2TM95CaERGjavvBbk2xg,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,3,6
Bali Top Holiday Tour & Travel - Paket Tour Bali Hemat,4.8,434,Jl. Tukad Balian No.99A,Kota Denpasar,https://www.balitopholiday.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing&utm_content=website-button,+62 821-3526-1150,https://www.google.com/maps/search/?api=1&query=Bali%20Top%20Holiday%20Tour%20%26%20Travel%20-%20Paket%20Tour%20Bali%20Hemat&query_place_id=ChIJZVvpo5hE0i0R6n5v3xZSn_Q,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
IKI BALI TRANS & TOURS Service,5,45,Jl. Dewi Saraswati utama No.1,Kabupaten Badung,http://www.ikibalitrans.com/,+62 813-7760-2010,https://www.google.com/maps/search/?api=1&query=IKI%20BALI%20TRANS%20%26%20TOURS%20Service&query_place_id=ChIJu_3ZIHFH0i0Rih_GbZ0AV9Q,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Sukses bali Tour,4.2,10,Jl. Raya Legian,Kabupaten Badung,,+62 821-4699-7305,https://www.google.com/maps/search/?api=1&query=Sukses%20bali%20Tour&query_place_id=ChIJE5fr3MZG0i0RPWztmIIfDF0,FALSE,FALSE,TRUE,FALSE,1,Sedang,0,1,2,4
Rent car Pesona Bali Tours,5,28,Jl. Dewi Sri VIII No.6,Kabupaten Badung,,+62 858-5725-5989,https://www.google.com/maps/search/?api=1&query=Rent%20car%20Pesona%20Bali%20Tours&query_place_id=ChIJT8YiaaVH0i0RJXzhEiwNX1k,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
bali travelink,5,1,Jl. Dewi Sri VIII,Kabupaten Badung,https://www.facebook.com/balitravelink,+62 812-4914-4052,https://www.google.com/maps/search/?api=1&query=bali%20travelink&query_place_id=ChIJFzJm-fL0ciYRbzPug3Y4w3k,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Klik Holiday,5,26,Jl. Dewi Sri VIII,Kabupaten Badung,,+62 822-2449-8700,https://www.google.com/maps/search/?api=1&query=Klik%20Holiday&query_place_id=ChIJ_XXOkNFH0i0RUR8k4mDXqIw,FALSE,FALSE,FALSE,FALSE,0,Rendah,0,1,2,4
Sobat Jalan,4.9,26,"blok rs, komplek Central parkir, Jl. Patih Jelantik No.11",Kabupaten Badung,https://sobatjalan.com/,+62 819-7550-888,https://www.google.com/maps/search/?api=1&query=Sobat%20Jalan&query_place_id=ChIJzcnxn6pH0i0RsbElW0nBqfM,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Fuad Bali Tour,4.9,38,Jl. Pantai Legian Jl. Melasti No.35,Kabupaten Badung,,+62 821-4440-6520,https://www.google.com/maps/search/?api=1&query=Fuad%20Bali%20Tour&query_place_id=ChIJB0pQcp9H0i0R_uEaENo2aAM,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
Fast Boat Bali Lombok Gili Island - Nusa Penida Tour - Nusa Lembongan,4.8,47,Jl. Raya Legian No.191,Kabupaten Badung,https://gilifastboat.com/,+62 823-3978-9162,https://www.google.com/maps/search/?api=1&query=Fast%20Boat%20Bali%20Lombok%20Gili%20Island%20-%20Nusa%20Penida%20Tour%20-%20Nusa%20Lembongan&query_place_id=ChIJYXpvepRH0i0Ref8z0qRJUlU,TRUE,FALSE,FALSE,FALSE,1,Sedang,1,1,4,3
Traveloka,3.6,255,"Bali White House Building, South Wing 4th Floor, Jl. Dewi Sri No.23",Kabupaten Badung,,,https://www.google.com/maps/search/?api=1&query=Traveloka&query_place_id=ChIJSwkolaFH0i0RJziwfKI60Mc,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,0,5,2
Bali Information Centre,5,1,Jl. Padma No.26,Kabupaten Badung,,+62 896-6090-9000,https://www.google.com/maps/search/?api=1&query=Bali%20Information%20Centre&query_place_id=ChIJ7VCBBsNG0i0RNd1vU-GgiEg,FALSE,FALSE,TRUE,FALSE,1,Sedang,0,1,2,4
padma utara silver assi,0,0,"75V9+QG6, Jl. Padma Utara No.5",Kabupaten Badung,,,https://www.google.com/maps/search/?api=1&query=padma%20utara%20silver%20assi&query_place_id=ChIJuXyiXgBH0i0Rv_SpYSAMnHA,TRUE,FALSE,TRUE,TRUE,3,Sangat tinggi,0,0,0,7
Mas Bali Rent Bike,4.9,263,75QF+F38,Kabupaten Badung,,+62 823-4040-0324,https://www.google.com/maps/search/?api=1&query=Mas%20Bali%20Rent%20Bike&query_place_id=ChIJvV8eQ7tH0i0RL3zctgppcf8,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
My VISA INDONESIA,5,247,Jl. Patih Jelantik No.57,Kabupaten Badung,http://myvisaindonesia.com/,+62 812-3665-4606,https://www.google.com/maps/search/?api=1&query=My%20VISA%20INDONESIA&query_place_id=ChIJv31h35pH0i0RPEHpCuUWh10,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,4,3
Bali Boat Ticket,0,0,"Same Building with Indo Flores Trip Bali, Jl. Benesari",Kabupaten Badung,https://www.baliboatticket.co.id/,+62 877-6519-1693,https://www.google.com/maps/search/?api=1&query=Bali%20Boat%20Ticket&query_place_id=ChIJj3Z73iFH0i0R659-85naTLg,TRUE,TRUE,FALSE,FALSE,2,Tinggi,1,1,6,5
VW Safari Tour Charter,0,0,Jl. Melasti No.1b,Kabupaten Badung,,,https://www.google.com/maps/search/?api=1&query=VW%20Safari%20Tour%20Charter&query_place_id=ChIJ107dWwBH0i0REK7b0K2eJts,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,0,0,7
Kharisma Wisata 99 by Momentrips,4.8,38,,,,+62 878-6322-6664,https://www.google.com/maps/search/?api=1&query=Kharisma%20Wisata%2099%20by%20Momentrips&query_place_id=ChIJh6plTGWljyYRTj2Qo5c_YGQ,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Omes Trans,4.8,17,Jl. Buana Raya No.36,Kota Denpasar,,,https://www.google.com/maps/search/?api=1&query=Omes%20Trans&query_place_id=ChIJ96nWawBH0i0RFeu83Nhmj-s,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,0,0,5,2
Bali Transport Tour,5,1,"Gang Tangkas No. 5 Kuta,, Jl. Pesraman",Bali,,+62 819-1638-5469,https://www.google.com/maps/search/?api=1&query=Bali%20Transport%20Tour&query_place_id=ChIJX53TKXBE0i0RHfO732B2nTg,TRUE,TRUE,FALSE,FALSE,2,Tinggi,0,1,2,4
Eza Bali Tour Travel 由 wa wa 管理 Tour,4.7,126,Jl. Pudak Sari Gg. III No.10 D,Kabupaten Badung,,+62 821-4724-4062,https://www.google.com/maps/search/?api=1&query=Eza%20Bali%20Tour%20Travel%20%E7%94%B1%20wa%20wa%20%E7%AE%A1%E7%90%86%20Tour&query_place_id=ChIJMe_NgvtF0i0Re-s03y-_RS4,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Triloka Tour Organizer,0,0,Jl. Pudak Sari No.55X,Kabupaten Badung,,,https://www.google.com/maps/search/?api=1&query=Triloka%20Tour%20Organizer&query_place_id=ChIJNzvd1jxqBAURzvFVrOjVJ6I,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,0,0,7
PT. ANUGERAH BALI SEJAHTERA (AGEN VISA DI BALI),5,22,Jl. Toyaning No.24,Bali,https://absvisa.com/,+62 896-7314-2281,https://www.google.com/maps/search/?api=1&query=PT.%20ANUGERAH%20BALI%20SEJAHTERA%20(AGEN%20VISA%20DI%20BALI)&query_place_id=ChIJkb3etXFE0i0RJB_Ab7mWTx4,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
The Bali Trip Mate | Tailor-made & Small Group Travel Experiences. Bali & beyond Indonesia.,4.8,21,"Benoa Square, Jl. Bypass Ngurah Rai No.21A 2nd Floor",Kabupaten Badung,http://www.thebalitripmate.com/,+62 361 2003226,https://www.google.com/maps/search/?api=1&query=The%20Bali%20Trip%20Mate%20%7C%20Tailor-made%20%26%20Small%20Group%20Travel%20Experiences.%20Bali%20%26%20beyond%20Indonesia.&query_place_id=ChIJO0tdJaVG0i0Ri46lebJGhsQ,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Bali Dayana Tour Travel Rent Car,0,0,Jl. Pesraman No.12,Kabupaten Badung,,+62 811-1302-1379,https://www.google.com/maps/search/?api=1&query=Bali%20Dayana%20Tour%20Travel%20Rent%20Car&query_place_id=ChIJhYbyAwBF0i0RTc9jlC6YVLQ,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,0,1,3,6
Sewa Mobil Murah Bali Sunshine Bali Tour & Rent Car,3.5,4,Jl. Pudak Sari Gg. II,Denpasar,,+62 812-3777-6447,https://www.google.com/maps/search/?api=1&query=Sewa%20Mobil%20Murah%20Bali%20Sunshine%20Bali%20Tour%20%26%20Rent%20Car&query_place_id=ChIJ_4po-vRB0i0Rv_GC3AMDvJ0,TRUE,FALSE,FALSE,FALSE,1,Sedang,0,1,2,4
Rama Tours,4.4,50,Jl. Bypass Ngurah Rai No.100 x,Kabupaten Badung,https://baliramatours.com/,+62 361 754950,https://www.google.com/maps/search/?api=1&query=Rama%20Tours&query_place_id=ChIJdebUDwNE0i0RxM-h7LaDoKc,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
Twinbali tour & travel,5,4,"Ruko Tuban Plaza, Jl. Bypass Ngurah Rai",Kabupaten Badung,https://twinbali.com/,+62 812-7999-9920,https://www.google.com/maps/search/?api=1&query=Twinbali%20tour%20%26%20travel&query_place_id=ChIJ3TSfjf5B0i0RMuJxGf3n5tg,TRUE,TRUE,TRUE,FALSE,3,Sangat tinggi,1,1,1,1
IndoPersia,4.4,96,"Puri alit, Jl. Bypass Ngurah Rai Block 12A",Kabupaten Badung,https://indopersia.co/,,https://www.google.com/maps/search/?api=1&query=IndoPersia&query_place_id=ChIJ-7OeNKVG0i0RG3z1kvTMybo,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,0,5,2
Bali Jaya Trans Tour & Travel,3.7,159,Jl. Bypass Ngurah Rai No.1A,Kabupaten Badung,https://www.balijayatrans.com/,+62 853-7008-9090,https://www.google.com/maps/search/?api=1&query=Bali%20Jaya%20Trans%20Tour%20%26%20Travel&query_place_id=ChIJs8oQ-QJE0i0RxSzwTUbEpGc,TRUE,FALSE,TRUE,FALSE,2,Tinggi,1,1,4,3
Komplit Travel,5,38,Gg. Sadasari Gg. Klp. No.8,Kabupaten Badung,,+62 813-5775-4477,https://www.google.com/maps/search/?api=1&query=Komplit%20Travel&query_place_id=ChIJpW7f6ZBH0i0RBBDVUNpUuBs,TRUE,FALSE,TRUE,FALSE,2,Tinggi,0,1,2,4
Diana Tour & Travel,3.9,7,Jl. Raya Kuta Jl. Raya Tuban No.168,Kabupaten Badung,https://dianatourtravel.com/,+62 812-3139-4334,https://www.google.com/maps/search/?api=1&query=Diana%20Tour%20%26%20Travel&query_place_id=ChIJo5C9Nv9F0i0RdxzkdojufGE,TRUE,TRUE,TRUE,TRUE,4,Sangat tinggi,1,1,1,1
